utr,payment_id,net_settled,settlement_date
UTR900001,pay_100002,6070.0,2026-09-02
UTR900002,pay_100003,25879.32,2026-09-05
UTR900003,pay_100004,22169.06,2026-09-02
UTR900004,pay_100004,22169.06,2026-09-02
UTR900005,pay_100005,9811.73,2026-09-02
UTR900006,pay_100006,30756.18,2026-09-02
UTR900007,pay_100007,4627.99,2026-09-02
UTR900008,pay_100008,35534.74,2026-09-02
UTR900009,pay_100009,3601.59,2026-09-02
UTR900010,pay_100010,25460.33,2026-09-02
UTR900011,pay_100011,43343.15,2026-09-02
UTR900012,pay_100012,12334.24,2026-09-02
UTR900013,pay_100013,15723.29,2026-09-02
UTR900014,pay_100014,23565.71,2026-09-02
UTR900015,pay_100015,43531.76,2026-09-02
UTR900016,pay_100016,37101.02,2026-09-02
UTR900017,pay_100017,17628.46,2026-09-02
UTR900018,pay_100018,9469.13,2026-09-02
UTR900019,pay_100019,11760.17,2026-09-02
UTR900020,pay_100020,32899.05,2026-09-02
UTR900021,pay_100022,33036.56,2026-09-02
UTR900022,pay_100023,26295.88,2026-09-05
UTR900023,pay_100024,42723.06,2026-09-02
UTR900024,pay_100024,42723.06,2026-09-02
UTR900025,pay_100025,33845.43,2026-09-02
UTR900026,pay_100026,20039.91,2026-09-02
UTR900027,pay_100027,22270.44,2026-09-02
UTR900028,pay_100028,6847.79,2026-09-02
UTR900029,pay_100029,26407.04,2026-09-02
UTR900030,pay_100030,10645.3,2026-09-02
UTR900031,pay_100031,32236.73,2026-09-02
UTR900032,pay_100032,5775.89,2026-09-02
UTR900033,pay_100033,23282.21,2026-09-02
UTR900034,pay_100034,31405.5,2026-09-02
UTR900035,pay_100035,39589.73,2026-09-02
UTR900036,pay_100036,14969.82,2026-09-02
UTR900037,pay_100037,461.91,2026-09-02
UTR900038,pay_100038,39844.3,2026-09-02
UTR900039,pay_100039,12356.33,2026-09-02
UTR900040,pay_100040,10800.72,2026-09-02
UTR900041,pay_100042,37624.68,2026-09-02
UTR900042,pay_100043,17799.35,2026-09-05
UTR900043,pay_100044,8546.8,2026-09-02
UTR900044,pay_100044,8546.8,2026-09-02
UTR900045,pay_100045,12359.3,2026-09-02
UTR900046,pay_100046,35573.94,2026-09-02
UTR900047,pay_100047,42631.76,2026-09-02
UTR900048,pay_100048,17965.64,2026-09-02
UTR900049,pay_100049,7320.6,2026-09-02
UTR900050,pay_100050,12653.23,2026-09-02
UTR900051,pay_100051,6933.62,2026-09-02
UTR900052,pay_100052,32742.41,2026-09-02
UTR900053,pay_100053,2640.49,2026-09-03
UTR900054,pay_100054,26235.63,2026-09-03
UTR900055,pay_100055,41430.42,2026-09-03
UTR900056,pay_100056,27303.08,2026-09-03
UTR900057,pay_100057,41128.34,2026-09-03
UTR900058,pay_100058,11721.19,2026-09-03
UTR900059,pay_100059,14009.26,2026-09-03
UTR900060,pay_100060,27381.03,2026-09-03
UTR900061,pay_100062,16336.48,2026-09-03
UTR900062,pay_999000,2542.76,2026-09-03
UTR900063,pay_999001,1248.45,2026-09-03
