payment_id,order_id,merchant,method,amount,fee,tax,net_expected,status,created_at
pay_100001,order_200001,Kavya Foods,card,28828.29,691.88,124.54,28011.87,captured,2026-09-01 09:17:17
pay_100002,order_200002,Pixel Studio,upi,6408.28,153.8,27.68,6226.8,captured,2026-09-01 09:34:47
pay_100003,order_200003,Kavya Foods,card,26633.59,639.21,115.06,25879.32,captured,2026-09-01 09:51:05
pay_100004,order_200004,Pixel Studio,wallet,22815.18,547.56,98.56,22169.06,captured,2026-09-01 10:08:12
pay_100005,order_200005,Zylo Retail,card,10036.76,190.7,34.33,9811.73,captured,2026-09-01 10:25:51
pay_100006,order_200006,Kavya Foods,netbanking,31461.55,597.77,107.6,30756.18,captured,2026-09-01 10:42:09
pay_100007,order_200007,Nimbus SaaS,netbanking,4734.13,89.95,16.19,4627.99,captured,2026-09-01 10:59:22
pay_100008,order_200008,Zylo Retail,wallet,36349.7,690.64,124.32,35534.74,captured,2026-09-01 11:16:34
pay_100009,order_200009,Pixel Studio,netbanking,3684.19,70.0,12.6,3601.59,captured,2026-09-01 11:33:40
pay_100010,order_200010,Kavya Foods,netbanking,26044.24,494.84,89.07,25460.33,captured,2026-09-01 11:50:02
pay_100011,order_200011,Zylo Retail,wallet,44337.19,842.41,151.63,43343.15,captured,2026-09-01 12:07:55
pay_100012,order_200012,Kavya Foods,netbanking,12617.12,239.73,43.15,12334.24,captured,2026-09-01 12:24:23
pay_100013,order_200013,Zylo Retail,card,16083.89,305.59,55.01,15723.29,captured,2026-09-01 12:41:44
pay_100014,order_200014,Orbit Travels,netbanking,24106.17,458.02,82.44,23565.71,captured,2026-09-01 12:58:29
pay_100015,order_200015,Kavya Foods,netbanking,44530.12,846.07,152.29,43531.76,captured,2026-09-01 13:15:35
pay_100016,order_200016,Zylo Retail,netbanking,37951.91,721.09,129.8,37101.02,captured,2026-09-01 13:32:14
pay_100017,order_200017,Pixel Studio,netbanking,18142.24,435.41,78.37,17628.46,captured,2026-09-01 13:49:58
pay_100018,order_200018,Orbit Travels,card,9686.3,184.04,33.13,9469.13,captured,2026-09-01 14:06:56
pay_100019,order_200019,Pixel Studio,netbanking,12029.88,228.57,41.14,11760.17,captured,2026-09-01 14:23:35
pay_100020,order_200020,Orbit Travels,netbanking,33653.57,639.42,115.1,32899.05,captured,2026-09-01 14:40:37
